Cidade,# Revisões,# Revisões de Hotel,# Votos Úteis,Período,Tipo,Animadores,Academia,Quadra de Tenis,Spa,Piscina,Wifi Free,Nome do Hotel,# Estrelas,Qtde Quartos,# Anos como membro,Mês da Revisão,Dia da Revisão,Pontuação
Anápolis,159,43,78,Set-Nov,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,4,Outubro,Quarta-feira,5
Caxias do Sul,47,23,20,Set-Nov,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,1,Novembro,Quinta-Feira,4
Maceió,86,12,46,Set-Nov,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,5,Novembro,Domingo,4
Goiânia,42,9,13,Dez-Fev,Casais,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,1,Dezembro,Terça-feira,5
Curitiba,64,33,23,Dez-Fev,Família,SIM,SIM,NÃO,NÃO,SIM,SIM,Golden Dolphin Supreme,3,23,7,Dezembro,Quinta-Feira,4
Goiânia,167,71,119,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,8,Janeiro,Sábado,5
Goiânia,25,5,12,Dez-Fev,Amigos,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,8,Janeiro,Quinta-Feira,5
Brasília,12,12,6,Dez-Fev,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,4,Fevereiro,Sexta-Feira,3
Goiânia,608,117,319,Dez-Fev,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Fevereiro,Sábado,5
Goiânia,5,4,3,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,8,Março,Domingo,5
Goiânia,26,17,34,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,7,Março,Quinta-Feira,5
Porto Alegre,11,5,9,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,7,Abril,Segunda-feira,5
Goiânia,39,10,13,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,3,Abril,Quarta-feira,4
São Paulo,1,0,3,Mar-Mai,Família,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,0,Maio,Quinta-Feira,2
Goiânia,108,20,22,Mar-Mai,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Maio,Quinta-Feira,3
Bela Vista,119,20,46,Jun-Ago,Amigos,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,1,Junho,Domingo,5
Goiânia,27,15,17,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,6,Junho,Terça-feira,3
Curitiba,55,55,134,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Julho,Quarta-feira,5
Uberlândia,7,3,7,Jun-Ago,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,3,Julho,Sexta-Feira,4
Uberlândia,3,3,2,Jun-Ago,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,0,Agosto,Quarta-feira,3
Goiânia,11,3,19,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,6,Agosto,Segunda-feira,4
Uberaba,27,15,16,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Setembro,Domingo,5
Goiânia,13,4,6,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,0,Setembro,Quarta-feira,5
Brasília,19,11,14,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Outubro,Domingo,3
Uberlândia,38,12,17,Set-Nov,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,7,Outubro,Sexta-Feira,5
Goiânia,167,71,119,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,8,Novembro,Domingo,4
Goiânia,28,6,9,Set-Nov,Negócios,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,3,Novembro,Terça-feira,3
Uberlândia,9,8,5,Dez-Fev,Família,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,4,Dezembro,Domingo,5
Goiânia,13,4,4,Dez-Fev,Amigos,SIM,SIM,SIM,SIM,SIM,SIM, Hotel CTC,3,23,5,Dezembro,Terça-feira,5
Goiânia,65,24,72,Dez-Fev,Negócios,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,6,Janeiro,Segunda-feira,3
Goiânia,8,3,3,Dez-Fev,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,3,Janeiro,Quinta-Feira,5
Brasília,61,13,26,Dez-Fev,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,4,Fevereiro,Domingo,2
Goiânia,3,3,8,Dez-Fev,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,1,Fevereiro,Sábado,2
Goiânia,66,13,21,Mar-Mai,Amigos,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,9,Março,Sexta-Feira,5
FloriAnápolis,9,7,4,Mar-Mai,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,2,Março,Terça-feira,5
FloriAnápolis,82,14,61,Mar-Mai,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,1,Abril,Quarta-feira,3
Uberlândia,113,48,33,Mar-Mai,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,4,Abril,Domingo,3
Goiânia,11,8,12,Mar-Mai,Amigos,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,6,Maio,Domingo,3
Uberlândia,2,1,1,Mar-Mai,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,3,Maio,Terça-feira,3
Goiânia,31,11,24,Jun-Ago,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,2,Junho,Quarta-feira,5
Uberaba,32,12,22,Jun-Ago,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,5,Junho,Quarta-feira,4
Goiânia,56,7,25,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,7,Julho,Domingo,3
Uberlândia,45,6,22,Jun-Ago,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,3,Julho,Quinta-Feira,5
Goiânia,17,4,4,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,0,Agosto,Domingo,4
Goiânia,23,23,11,Jun-Ago,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,1,Agosto,Domingo,5
Uberlândia,56,18,24,Set-Nov,Amigos,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,4,Setembro,Sábado,5
Goiânia,290,263,300,Set-Nov,Negócios,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,10,Setembro,Sábado,4
Uberaba,26,7,9,Set-Nov,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,0,Outubro,Sexta-Feira,4
São Paulo,116,44,53,Set-Nov,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,5,Outubro,Sábado,4
Maringá,14,5,15,Set-Nov,Negócios,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,5,Novembro,Quinta-Feira,4
Goiânia,13,7,1,Set-Nov,Negócios,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,4,Novembro,Domingo,5
Goiânia,20,9,25,Dez-Fev,Casais,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,8,Dezembro,Terça-feira,4
Anápolis,3,3,3,Dez-Fev,Família,SIM,SIM,NÃO,NÃO,NÃO,SIM, Hotel Parque Das Primaveras,3,19,2,Dezembro,Quarta-feira,5
Goiânia,17,3,12,Dez-Fev,Amigos,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,2,Janeiro,Segunda-feira,4
Uberaba,21,11,13,Dez-Fev,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Janeiro,Domingo,5
Goiânia,60,11,33,Dez-Fev,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,3,Fevereiro,Quinta-Feira,5
Uberlândia,12,4,15,Dez-Fev,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,11,Fevereiro,Segunda-feira,5
Goiânia,27,12,51,Mar-Mai,Amigos,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Março,Terça-feira,5
Goiânia,34,12,35,Mar-Mai,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,3,Março,Terça-feira,4
Uberlândia,69,22,38,Mar-Mai,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,6,Abril,Quinta-Feira,5
Goiânia,16,4,7,Mar-Mai,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Abril,Sábado,5
Uberaba,26,5,5,Mar-Mai,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,1,Maio,Quinta-Feira,4
Goiânia,54,10,15,Mar-Mai,Negócios,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,5,Maio,Terça-feira,4
Brasília,35,17,27,Jun-Ago,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,6,Junho,Terça-feira,5
São Paulo,23,12,7,Jun-Ago,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,7,Junho,Sábado,5
Brasília,6,3,14,Jun-Ago,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,3,Julho,Domingo,5
Goiânia,27,8,16,Jun-Ago,Amigos,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Julho,Quinta-Feira,4
Goiânia,41,8,14,Jun-Ago,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Agosto,Quarta-feira,3
Uberlândia,12,4,6,Jun-Ago,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,2,Agosto,Segunda-feira,5
Goiânia,14,3,14,Set-Nov,Amigos,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,6,Setembro,Terça-feira,5
Goiânia,415,162,265,Set-Nov,Negócios,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,8,Setembro,Domingo,4
Ribeirão Preto,76,27,32,Set-Nov,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,6,Outubro,Quinta-Feira,3
Brasília,24,12,30,Set-Nov,Casais,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Outubro,Segunda-feira,4
Joinville,23,9,23,Set-Nov,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,4,Novembro,Segunda-feira,3
Goiânia,182,24,47,Set-Nov,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,2,Novembro,Domingo,4
Goiânia,289,28,133,Dez-Fev,Família,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,5,Dezembro,Terça-feira,4
Uberlândia,101,35,46,Dez-Fev,Amigos,SIM,SIM,SIM,NÃO,NÃO,SIM,Hotel Hot Star,3,23,5,Dezembro,Sábado,5
Ribeirão Preto,31,11,20,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,2,Janeiro,Sexta-Feira,4
Goiânia,20,6,9,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,0,Janeiro,Quarta-feira,5
Goiânia,60,16,15,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,5,Fevereiro,Sábado,4
Anápolis,1,0,2,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,0,Fevereiro,Domingo,5
Goiânia,9,3,13,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,2,Março,Quinta-Feira,3
Goiânia,19,7,5,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,5,Março,Quarta-feira,5
Belém,116,78,206,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,9,Abril,Domingo,5
Uberaba,22,13,26,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,2,Abril,Sexta-Feira,4
Uberaba,83,10,26,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,1,Maio,Terça-feira,4
Brasília,20,3,9,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,0,Maio,Segunda-feira,5
Goiânia,7,5,6,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,1,Junho,Segunda-feira,5
Goiânia,95,34,46,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,6,Junho,Domingo,5
Uberaba,15,6,19,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,4,Julho,Quarta-feira,4
Brasília,13,7,12,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,5,Julho,Domingo,4
Uberlândia,19,8,24,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,10,Agosto,Quarta-feira,5
Brasília,21,6,15,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,3,Agosto,Sábado,5
Brasília,56,11,14,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,5,Setembro,Sexta-Feira,5
Brasília,29,7,15,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,7,Setembro,Quinta-Feira,5
Porto Alegre,20,0,8,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,2,Outubro,Sexta-Feira,5
Brasília,39,20,31,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,8,Outubro,Quinta-Feira,4
Fortaleza,9,6,3,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,5,Novembro,Sábado,5
Uberaba,43,38,29,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,4,Novembro,Sábado,5
Luziânia,16,10,11,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,9,Dezembro,Quinta-Feira,5
Goiânia,6,6,12,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio das Pedras Thermas Hotel,5,41,10,Dezembro,Quarta-feira,4
Uberaba,16,6,3,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,3,Janeiro,Sábado,4
Goiânia,15,3,13,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,5,Janeiro,Quinta-Feira,5
Goiânia,30,6,26,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,3,Fevereiro,Terça-feira,4
Goiânia,41,9,111,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,1,Fevereiro,Sexta-Feira,5
São Paulo,44,35,53,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,6,Março,Terça-feira,5
Goiânia,30,9,17,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,0,Março,Terça-feira,2
Ribeirão Preto,23,10,18,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,4,Abril,Segunda-feira,5
Salvador,3,0,8,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,3,Abril,Terça-feira,2
Brasília,12,6,16,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,3,Maio,Sexta-Feira,3
Brasília,15,6,17,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,1,Maio,Quinta-Feira,5
Brasília,5,0,5,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,0,Junho,Quarta-feira,5
Goiânia,32,5,11,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,6,Junho,Domingo,4
Goiânia,28,5,23,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,5,Julho,Sexta-Feira,5
Aparecida de Goiânia,77,18,48,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,10,Julho,Sábado,4
Goiânia,11,8,2,Jun-Ago,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,0,Agosto,Segunda-feira,4
Rio de Janeiro,102,25,37,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,6,Agosto,Domingo,5
Ribeirão Preto,13,3,2,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,6,Setembro,Terça-feira,5
Goiânia,62,13,31,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,2,Setembro,Terça-feira,4
Brasília,26,22,42,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,5,Outubro,Domingo,5
Brasília,13,6,12,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,1,Outubro,Sábado,4
Brasília,26,18,43,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,4,Novembro,Segunda-feira,5
Uberlândia,17,10,39,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,3,Novembro,Sábado,5
São Paulo,4,4,1,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,1,Dezembro,Segunda-feira,4
Bela Vista,20,18,19,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipê,5,40,4,Dezembro,Sexta-Feira,2
Goiânia,14,3,7,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,7,Janeiro,Sábado,4
Uberlândia,19,3,12,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,1,Janeiro,Quarta-feira,5
Goiânia,4,4,2,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,1,Fevereiro,Quarta-feira,2
Goiânia,116,12,43,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,4,Fevereiro,Terça-feira,4
Goiânia,121,13,59,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,9,Março,Terça-feira,2
Goiânia,14,7,6,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,2,Março,Sexta-Feira,5
Goiânia,56,16,54,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,9,Abril,Terça-feira,4
Uberlândia,73,4,39,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,3,Abril,Segunda-feira,3
Goiânia,9,5,4,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,6,Maio,Quinta-Feira,5
Goiânia,137,42,51,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,5,Maio,Domingo,3
Uberaba,30,12,38,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,4,Junho,Sábado,5
Campinas,130,19,49,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,6,Junho,Domingo,3
Goiânia,50,15,23,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,3,Julho,Sexta-Feira,4
Brasília,22,9,11,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,3,Julho,Quarta-feira,4
Campo Grande,85,37,65,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,4,Agosto,Sexta-Feira,5
Goiânia,73,7,26,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,3,Agosto,Quinta-Feira,5
Goiânia,20,10,27,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,2,Setembro,Quinta-Feira,4
Uberlândia,13,6,13,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,2,Setembro,Terça-feira,5
Uberlândia,18,3,10,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,2,Outubro,Segunda-feira,2
Goiânia,6,4,6,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,0,Outubro,Sábado,5
Goiânia,48,8,25,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,6,Novembro,Segunda-feira,4
Goiânia,24,3,5,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,0,Novembro,Domingo,5
Uberlândia,123,26,63,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,4,Dezembro,Sábado,5
Goiânia,24,7,6,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,diRoma Resort,4,30,1,Dezembro,Quinta-Feira,4
Uberlândia,20,13,17,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,4,Janeiro,Segunda-feira,4
Goiânia,15,3,4,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,7,Janeiro,Terça-feira,3
Itajaí,189,72,129,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,3,Fevereiro,Sexta-Feira,4
Goiânia,25,19,27,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,8,Fevereiro,Segunda-feira,3
Goiânia,33,11,12,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,4,Março,Quarta-feira,5
Goiânia,14,7,13,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,4,Março,Quinta-Feira,5
Goiânia,38,22,47,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,4,Abril,Segunda-feira,4
Campo Grande,169,43,85,Mar-Mai,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,12,Abril,Domingo,4
Goiânia,20,17,21,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,4,Maio,Domingo,3
Goiânia,17,10,18,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,3,Maio,Terça-feira,4
Goiânia,96,47,161,Jun-Ago,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,11,Junho,Segunda-feira,4
Goiânia,38,13,11,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,5,Junho,Domingo,3
São Paulo,12,11,9,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,6,Julho,Segunda-feira,4
Goiânia,9,8,1,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,6,Julho,Segunda-feira,5
Goiânia,23,21,22,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,7,Agosto,Quarta-feira,3
Goiânia,21,6,3,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,5,Agosto,Terça-feira,4
Goiânia,30,27,19,Set-Nov,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,6,Setembro,Sexta-Feira,5
Goiânia,63,16,59,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,11,Setembro,Quarta-feira,3
Brasília,35,3,25,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,1,Outubro,Segunda-feira,5
Brasília,15,4,8,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,1,Outubro,Domingo,5
Uberlândia,50,13,29,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Pousada do Ipês Thermas Resort,4,24,8,Novembro,Quinta-Feira,4
